"V1" "V2"
1.86 1.15
2.58992213918033 1.16008188635248
3.49297285791669 1.16607091434884
4.45372052552171 1.18354459064356
5.41096033296407 1.18540760402891
6.28563511053116 1.17288366509954
7.14038629566968 1.15554683338609
8.14295584686891 1.15174726694673
9.31917524842195 1.15943157713359
10.6020064698085 1.16609224485951
11.9409159476473 1.1698125404625
13.3061507753008 1.17165457216717
14.6804455433969 1.17252410739485
16.0541912610666 1.1729244088656
17.4216960406479 1.17310571377217
18.7795974626219 1.17318433167189
