"V1" "V2"
1 3
0.773479727849336 2.31271543925507
0.861906359479524 2.07317984226918
0.901068223468164 2.05627426480856
0.916893931925461 2.11819602021099
0.92506938618117 2.20894452842767
0.930950636707191 2.31038754020763
0.936156402689844 2.41504258587022
0.941093493794313 2.51902801923146
0.945793051503688 2.61976481291986
0.950185210307506 2.71531929950328
0.954191002795308 2.80427459384433
0.957753038397482 2.88573219323387
0.960843805455514 2.95928848059158
0.963464093279068 3.02497290197147
0.965636691228973 3.08315033821147
