"x"
-6499.84083041201
1222.79270527167
1489.7706808245
1588.76719640997
1629.62238009172
1649.38519008422
1660.899181576
1668.49460804562
1673.93463283172
"x"
-6499.84083041201
1222.79270527167
1489.7706808245
1588.76719640997
1629.62238009172
1649.38519008422
1660.899181576
1668.49460804562
1673.93463283172
"x"
-6499.84083041201
1222.79270527167
1489.7706808245
1588.76719640997
1629.62238009172
1649.38519008422
1660.899181576
1668.49460804562
1673.93463283172
"x"
-6559.9955952803
1455.89573335994
1642.87201430999
1720.37452604762
1756.78303553119
1774.16963342579
1783.48755487728
1789.2118678615
1793.16794728494
