"V1" "V2"
0.5 0.5
0.727587386856086 0.265643007281012
0.735287991983951 0.261745537720643
0.737261979322587 0.262148055529083
0.737217659447593 0.263166410150549
0.736338291313614 0.264424166273012
0.73506242797796 0.265851743157581
0.733542467101127 0.267424933306225
0.731840621250976 0.269133207365018
"V1" "V2"
0.5 0.5
0.727587386856086 0.265643007281012
0.735287991983951 0.261745537720643
0.737261979322587 0.262148055529083
0.737217659447593 0.263166410150549
0.736338291313614 0.264424166273012
0.73506242797796 0.265851743157581
0.733542467101127 0.267424933306225
0.731840621250976 0.269133207365018
"V1" "V2"
0.5 0.5
0.727587386856086 0.265643007281012
0.735287991983951 0.261745537720643
0.737261979322587 0.262148055529083
0.737217659447593 0.263166410150549
0.736338291313614 0.264424166273012
0.73506242797796 0.265851743157581
0.733542467101127 0.267424933306225
0.731840621250976 0.269133207365018
"V1" "V2"
0.5 0.5
0.764424216291926 0.227197556496751
0.763368277051149 0.231775931648183
0.760118613096435 0.237277410069931
0.757285937303974 0.241266878623843
0.754954677325843 0.244126163724305
0.753078768830336 0.246261966572222
0.751557262100288 0.247931175545442
0.75029918655372 0.249286789592048
