"x"
-3428.45944147367
-2295.18275178412
-1836.74865818154
-2228.50346471532
-2341.88809433068
-2357.03946638201
-2344.30396356664
-2328.12939551555
-2317.95593612593
"x"
-6900.34142051853
-2535.39692385198
-1577.94079781606
-1786.30656138847
-2004.05117246541
-2158.65887046285
-2242.74757842149
-2273.37054085284
-2270.51285454535
"x"
-8963.34525989854
-1588.82278623038
-1090.31057123026
-1568.29949098281
-1958.9750414868
-2184.91921868602
-2278.0495546763
-2294.50507951261
-2273.96072393906
"x"
-5187.68721359532
-1051.86464220939
-1042.79201097518
-1532.46651790945
-1860.82824253025
-2047.03115526972
-2145.86189509398
-2213.15850469513
-2267.9364969916
"x"
-10053.4161886013
-1742.14338030719
-1649.48501730208
-2099.57469141468
-2319.93863118522
-2438.04748986203
-2504.99021308904
-2545.5171173245
-2573.05205368353
"x"
-12388.5342112142
-1192.85752107963
-1324.69839214027
-1999.41272811931
-2348.9037483739
-2478.66629911472
-2550.37191660722
-2587.09583952686
-2606.35700751839
"x"
-5622.02664671106
-855.430753909907
-988.754004946887
-1501.5280570257
-1863.24560725572
-2054.07855213416
-2152.09705539965
-2220.52942204598
-2277.52128808253
"x"
-10493.8860770132
-1483.43333899212
-1786.122866849
-2172.1005659472
-2360.13261796393
-2464.98437573062
-2513.69736357465
-2545.31331704944
-2569.43711918214
"x"
-12916.4310471566
-1027.79193528353
-1450.94088927187
-2097.44573138639
-2365.49016003069
-2493.90544862501
-2557.2980979235
-2589.70677884816
-2607.04435770291
"x"
-3711.55461756837
257.488334817528
868.59256060148
625.149211556288
319.597109511415
-214.01473676418
-940.841263003747
-1670.71984380066
-2171.42930315353
"x"
-3361.89547505844
-2109.59377360482
-1904.47178373042
-2261.94301345809
-2417.89618554398
-2491.30911581359
-2512.9988421967
-2499.07268140832
-2466.38113443646
