"V1" "V2"
0.5 0.5
0.277015975755446 0.50250254310416
0.351279064145869 0.638961343391848
"V1" "V2"
0.5 0.5
0.326516482778415 0.501427713510905
0.415460637678653 0.578583019684819
"V1" "V2"
0.5 0.5
0.409530097463547 0.457792164006226
0.505984244622034 0.492825190261818
"V1" "V2"
0.5 0.5
0.238706306651775 0.57927910184047
0.321026453993328 0.671979576493907
"V1" "V2"
0.5 0.5
0.207163290814666 0.481078641031559
0.34878471883991 0.654656033211078
"V1" "V2"
0.5 0.5
0.360156556979338 0.442823982357765
0.499218636960321 0.501114260241775
