"V1" "V2" "V3"
1 0.1 1.1
1.36947170633188 0.61295188614217 1.24328272155242
1.45075830059781 0.705794445592848 1.20637397839088
1.52051112841761 0.733474935811074 1.17655649288198
1.60778038605204 0.749546548438747 1.16034268835254
1.71719955902366 0.766838342509637 1.15622155163602
1.85097834993066 0.787853697913125 1.16212251304503
2.01245590559805 0.812068412078835 1.17647895809305
2.20656042703834 0.83811220546065 1.19824149531656
"V1" "V2" "V3"
1 0.1 3.55
1.16319673179393 0.53824648705626 3.80939746156609
1.20289951839771 0.680045179922849 4.09902818587929
1.22729082917705 0.750790431152234 4.52698263305753
1.25718352724837 0.788818616511931 5.07146003496279
1.29578142523325 0.806813824760294 5.71903436026579
1.34403432675802 0.813142320411626 6.45393375624875
1.40335577117219 0.815487909020843 7.25708656142554
1.47561350456683 0.820202348908631 8.10818006846597
"V1" "V2" "V3"
1 0.1 6
1.30194437984664 0.535611382642947 6.10185152243915
1.34612229811036 0.666003950831506 6.63466931115435
1.3490142121777 0.727865228016226 7.37455182508569
1.36202961122306 0.759797208140608 8.25474293990338
1.39338802036709 0.775801302074119 9.2371165083275
1.44183628661114 0.785688885346503 10.2817717630687
1.5064277344339 0.796755310827855 11.3550328439249
1.58765868480673 0.813047105300709 12.432281409803
"V1" "V2" "V3"
1 2.55 1.1
1.16663356416101 5.17916969294534 1.09478836750458
1.26909152828153 6.57182460228833 1.05548655873091
1.37509412161675 7.7963652630577 1.01892822948483
1.51451555007096 9.00994462429271 0.997093044878877
1.68332518659729 10.2252559383061 0.991170577649915
1.87878455212968 11.4358133100716 0.9979422032384
2.10385814806127 12.6345150845803 1.01333547019582
2.36542363344708 13.8189088479307 1.03375929882447
"V1" "V2" "V3"
1 2.55 3.55
0.952993406719424 3.98898662252533 3.41952932609868
1.01690440863185 4.93427877140204 3.60008434564726
1.04610471897028 5.75210405345572 3.86436815897751
1.07423573537038 6.64878777001192 4.23656243182564
1.10314448793157 7.66010730672038 4.71808721048507
1.12634610842274 8.76732814120245 5.30492383230304
1.14291236054457 9.94717014316053 5.99175525478589
1.1541947899011 11.180730010433 6.77108586802547
"V1" "V2" "V3"
1 2.55 6
1.06661180289972 3.35281541402403 5.62472407380637
1.12254676019856 4.09081107917129 6.03377295593061
1.12532861713174 4.78871279201142 6.56533731461602
1.13186836000666 5.61029899499257 7.27160337681483
1.1466556202856 6.57341211915669 8.12762733852493
1.15825581736255 7.64986183093774 9.09814370815139
1.16517375780473 8.8077343306651 10.1532458102049
1.16901769978289 10.0213155885177 11.2702075744544
"V1" "V2" "V3"
1 5 1.1
1.19012917364525 9.28535288578079 1.14504196599526
1.28109364392229 10.9249056862178 1.08371684868742
1.38932975990729 12.4442541747318 1.03355396276808
1.53936599138072 13.9405177650447 1.00476619899324
1.7212528393684 15.4055007891885 0.996842365780362
1.93074563860363 16.8329657521725 1.00379571619397
2.17120714920467 18.2200026990956 1.01990798689667
2.45039955909527 19.5696504934864 1.04090832531196
"V1" "V2" "V3"
1 5 3.55
0.965486936758039 8.15339871244343 3.59573456566458
1.0043570846892 9.77749218220592 3.72372726050484
1.02897460218778 11.1053994722481 3.94577854975778
1.06109185232824 12.5217395325078 4.27601648190175
1.09338332843833 14.0307622435953 4.71204639866949
1.11871478524818 15.5850891016888 5.25132671130162
1.13711767293148 17.15234098193 5.89050250589796
1.15000400584073 18.7142511720492 6.62392060748645
"V1" "V2" "V3"
1 5 6
1.08517883831611 6.68623450336243 5.54375188307189
1.11789467376291 7.93538377234835 5.87750149488585
1.11776209295757 8.94707923499741 6.36412000185793
1.12813905001993 10.1130087043364 7.03096713553644
1.14525031428202 11.4476913508245 7.84437410891417
1.1573552504105 12.8839968041521 8.76975425206016
1.16451825625776 14.3686763916911 9.78020370430267
1.16855889512304 15.868374303623 10.8551380853457
"V1" "V2" "V3"
1 0.1 1.1
2.03864461373543 0.814627405064738 1.15954229153281
2.76635406305939 1.15311717489528 1.11396500368552
3.58675551694265 1.58460630810133 1.13347295327993
4.52246582985509 2.15173846776265 1.15867763396729
5.52326480269817 2.8599996874508 1.16976000272901
6.48472694863584 3.64314301068196 1.16611673077179
7.37758212976874 4.40302226046634 1.15403091560826
8.33089881697845 5.20462932549239 1.14659416485287
"V1" "V2" "V3"
1 0.1 3.55
1.19854619802486 0.568464306259318 2.96404232410347
1.23439967515079 0.657191584997148 2.49316825368884
1.26348739670068 0.682459074989513 2.19939561297153
1.30731968479481 0.700809502217387 2.02170331582505
1.36676021177069 0.724594093810386 1.92234440325085
1.44100766531706 0.754496612360729 1.8773766432228
1.53031571283765 0.788579564649017 1.87194630107989
1.63629663092532 0.824916229610108 1.89742558199931
"V1" "V2" "V3"
1 0.1 6
1.03571747390356 0.573975512102854 5.00711666209879
1.04897824238302 0.71013960991037 4.47465890292414
1.06975304309033 0.776949889166235 4.25106743156119
1.10217054226895 0.818031834172643 4.21485079986845
1.14292838531903 0.844865476056392 4.31344021770145
1.19027807071056 0.861750102466464 4.52171375053851
1.24427913645606 0.871296669941898 4.82616033079117
1.30635026870388 0.876182568420333 5.21749835138916
"V1" "V2" "V3"
1 2.55 1.1
1.86250072503787 5.51385395459301 1.1480162533086
2.56749384213816 6.49178710433224 1.13926992158238
3.30124196136804 7.18334852870083 1.15919230859889
4.1330332804803 7.92829436881673 1.17715819109795
5.01856302798789 8.83236464487316 1.18156450325987
5.86485005250181 9.76009562629101 1.17210085375428
6.6893166227823 10.5515383852356 1.15568349309771
7.64143857852223 11.4936771058861 1.14969159383997
"V1" "V2" "V3"
1 2.55 3.55
0.899238263419882 6.29766970701805 2.94158908780974
0.905075370834544 9.12231850787199 2.48868702547653
0.911491821004343 11.9339029256837 2.19620857294737
0.916392219444285 14.5113796981908 2.01596552526195
0.917948803914072 16.731938620423 1.92227319056345
0.922109705173633 18.6356206847525 1.8945190993922
0.931978621815255 20.3181993201103 1.91641694001024
0.947575120807156 21.855710909961 1.97756733280611
"V1" "V2" "V3"
1 2.55 6
0.838572618231286 5.95703640942541 4.90152053746397
0.887058957669091 8.58668231370992 4.31778640027538
0.923831115292829 11.1116324839791 3.99748986164143
0.962106945253286 13.5042788955833 3.84554266848562
0.996372324637489 15.6919511149716 3.82296062216643
1.02764148098003 17.6686696783558 3.91011066562014
1.05636778234547 19.4679490134534 4.09656367454516
1.08214873079914 21.1327815003321 4.37780522299333
"V1" "V2" "V3"
1 5 1.1
1.93823743326129 9.21852649234325 1.14793413371872
2.65559391415317 9.97657988531273 1.13297165110582
3.38135698607144 10.5222351081334 1.15420035302041
4.20635173606548 11.1867112353221 1.17342086268443
5.08521661114276 12.0675513404691 1.17827907631312
5.92601957056128 12.9708095650328 1.16895494561096
6.75802252531612 13.7363608205611 1.15351927806114
7.72728233746567 14.7500108036095 1.14968103634222
"V1" "V2" "V3"
1 5 3.55
0.917991307193077 10.6102936364817 3.00010034348873
0.909545150106334 13.7749606391524 2.52997998158926
0.910960610122205 17.102004662526 2.23778768506137
0.912562954362333 20.1078003313117 2.06614225173448
0.914363033706707 22.6273714895186 1.98392628035208
0.921588285503271 24.7397512238295 1.96798573255982
0.935579143705452 26.5778274646199 2.00188905893592
0.955039869499896 28.2389313923071 2.07621790075367
"V1" "V2" "V3"
1 5 6
0.847828178468314 11.9329834590411 5.14987105548383
0.884773455389331 15.4711412485213 4.50276315674485
0.922549807751952 18.9587849177156 4.15010370631237
0.961890033202933 22.1832643275028 3.98601816756561
0.997364391374162 25.0343095262428 3.96435813749918
1.02995900916224 27.5345805534755 4.06072252952329
1.05964343373292 29.7575867558455 4.26199471239211
1.0858470172463 31.7774760904415 4.56216843022272
"V1" "V2" "V3"
1 0.1 1.1
2.24357439971814 0.94031263348138 1.24666768099586
2.88533248486355 1.36969137730147 1.23371589362996
3.53916348520269 1.87089788088676 1.24578565082445
4.30337701312688 2.47637767764086 1.25035327832663
5.20389101042737 3.20736656416758 1.2437373002867
6.19449113468352 4.07101702761339 1.22844811105754
7.15164816685986 5.00350383032559 1.20541387394905
8.00629728461469 5.85143632984959 1.17795710233208
"V1" "V2" "V3"
1 0.1 3.55
1.53787407075791 0.576644030911873 2.70215277216383
1.9063291958766 0.629757209580948 2.0058624284788
2.56283336626582 0.678666739941245 1.60874927294234
3.52759839634705 0.760837947121346 1.40138786668641
4.66765395620776 0.862625485589132 1.28308341329124
5.85444145074094 0.978924809044687 1.20759279983871
7.01839798134243 1.11047517672912 1.15979296436909
8.16563023159089 1.25802572381849 1.13344959650384
"V1" "V2" "V3"
1 0.1 6
1.20325254701885 0.574570544778103 4.56178421036431
1.24659649815524 0.668883255406945 3.6292404675691
1.28170860412558 0.696645001717261 3.04622570742161
1.33147660735991 0.714589651226883 2.67142361413619
1.39756098887817 0.73691468877129 2.4339444441674
1.47966412118177 0.765799068750545 2.29232059862851
1.57854133851866 0.799901645162967 2.22040573323471
1.69634439891168 0.837227883955368 2.20164515828686
