"V1" "V2" "V3"
0.260359171218951 0.425414623957196 0.316047758790069
0.228456904296043 0.485205447839284 0.288791842933016
"V1" "V2" "V3"
0.34 0.33 0.33
0.488727487767862 0.198659842950979 0.278492847619222
0.547697096185888 0.218171693223231 0.237406398036675
0.571483905567975 0.235380582674082 0.193923217728333
0.588702203482207 0.256458261828771 0.155445052095442
0.599597822167553 0.280885319235055 0.121037330521877
0.602904089831817 0.308713574644774 0.091095460198675
0.597437202104022 0.34039139581984 0.0661204923353817
0.582406837662079 0.376538979404043 0.0462389190113201
"V1" "V2" "V3"
0.34 0.33 0.33
0.478266244212969 0.0851878442314223 0.467531480300427
0.435196992117198 0.0505767675358643 0.556642309427035
0.350556840897578 0.0292039414940159 0.653883400694624
0.260070324125654 0.0168175243561858 0.747838935364016
0.178651248620909 0.00930912598216969 0.828058202468333
0.112985394620698 0.00487410417852608 0.890273223737605
0.0644269320304564 0.00236320748169897 0.936151515395707
0.0319960934547357 0.0010168512090056 0.968173275202529
"V1" "V2" "V3"
0.34 0.33 0.33
0.508367909406092 0.079082123618494 0.401910811036062
0.548868112680318 0.041464047141161 0.420526175767613
0.558815904196786 0.0198127859575517 0.428974531724562
0.561612571074096 0.00894028710937867 0.430364383795782
0.570841787695062 0.00382396090756402 0.423054035907065
0.590109222716361 0.00156098115783566 0.404991357698307
0.619513950660689 0.000616098824442079 0.376728721414837
0.656972169052278 0.000237894272426444 0.340352672194596
"V1" "V2" "V3"
0.34 0.33 0.33
0.59185998538615 0.0753927882798498 0.314155498575712
0.680374059239347 0.0378419255783181 0.278278318282704
0.741891585336807 0.0163719957715363 0.242735037302974
0.785397702982705 0.00668010478087167 0.206923953920179
0.823848456004655 0.00263405314910046 0.1719855097775
0.859180323823942 0.00101185685599942 0.138506564321267
0.890968944252321 0.000381595062103362 0.107709535856692
0.918466786521788 0.000142278402932019 0.0807668269409278
"V1" "V2" "V3"
0.34 0.33 0.33
0.498341059708702 0.0619463777168737 0.479830433881758
0.445868605729473 0.0330889211878892 0.565493813449798
0.354601751220285 0.0172212078997621 0.662370560174958
0.260211584025817 0.00883555943528308 0.755631218479451
0.176883207995388 0.00443985986408528 0.834414638506462
0.110517494638457 0.00215137832825893 0.894949107801552
0.0621557785760549 0.000967354765417777 0.939639902773842
0.030538784272358 0.000385404939755524 0.970120251078296
"V1" "V2" "V3"
0.34 0.33 0.33
0.517782224350269 0.0601654738155337 0.418490290191733
0.556389414625428 0.0282576263378542 0.42736005857243
0.565874361754302 0.0123909148917642 0.428497586574452
0.571301076939739 0.00516567879630828 0.423417964003254
0.585195713973596 0.00204568356046379 0.409946653328604
0.60956009991261 0.000775011345272749 0.38626657038228
0.643347315551765 0.000284753359755573 0.353413016829488
0.683871418772207 0.000102666827842372 0.313819490570838
"V1" "V2" "V3"
0.34 0.33 0.33
0.600766495432531 0.0571229030985964 0.333742503209391
0.685689326179737 0.0249516577033974 0.286745203328792
0.745867078845209 0.00973736762248292 0.245360910656687
0.789271884364053 0.00361329206342188 0.205695578379048
0.828590297849077 0.00129938331298057 0.168394974307287
0.864536369794782 0.000455779896209979 0.133656001424864
0.89641636826353 0.000157153784658295 0.102491867082061
0.923515520114323 5.36439825441515e-05 0.0758299156449407
"V1" "V2" "V3"
0.34 0.33 0.33
0.527810890015117 0.149764460313544 0.344627562413804
0.481196826915724 0.127462881939887 0.434998913758167
